sample,node,distance,label
953,node1,37.16,1
954,node1,38.79,1
955,node1,36.23,1
956,node1,39.25,1
957,node1,36.47,1
958,node1,36.45,1
959,node1,36.47,1
960,node1,36.45,1
961,node1,36.45,1
962,node1,36.47,1
963,node1,37.38,1
964,node1,36.45,1
965,node1,41.34,0
966,node1,57.15,0
967,node1,38.78,1
968,node1,56.81,0
969,node1,40.19,0
970,node1,37.15,1
971,node1,43.83,0
972,node1,42.26,0
973,node1,41.34,0
974,node1,58.38,0
975,node1,50.27,0
976,node1,18.41,1
977,node1,67.95,0
978,node1,67.8,0
979,node1,63.24,0
980,node1,36.45,1
981,node1,41.8,0
982,node1,41.56,0
983,node1,36.45,1
984,node1,23.49,1
985,node1,29.63,1
986,node1,30.16,1
987,node1,11.08,0
988,node1,6.46,0
989,node1,16.8,1
990,node1,24.68,1
991,node1,50.98,0
992,node1,37.64,1
993,node1,39.03,1
994,node1,54.6,0
995,node1,38.56,1
996,node1,39.51,1
997,node1,29.09,1
998,node1,36.48,1
999,node1,36.24,1
1000,node1,23.22,1
1001,node1,34.39,1
1002,node1,37.16,1
1003,node1,36.7,1
1004,node1,37.16,1
1005,node1,27.05,1
1006,node1,41.82,0
1007,node1,30.17,1
1008,node1,37.42,1
1009,node1,36.92,1
1010,node1,30.7,1
1011,node1,39.49,1
1012,node1,34.14,1
1013,node1,38.56,1
1014,node1,36.47,1
1015,node1,35.44,1
1016,node1,37.16,1
1017,node1,36.23,1
1018,node1,37.62,1
1019,node1,38.33,1
1020,node1,36.94,1
1021,node1,10.76,0
1022,node1,11.08,0
1023,node1,36.47,1
1024,node1,39.73,1
1025,node1,47.09,0
1026,node1,29.92,1
1027,node1,35.7,1
1028,node1,27.32,1
1029,node1,39.01,1
1030,node1,36.94,1
1031,node1,39.51,1
1032,node1,44.64,0
1033,node1,36.92,1
1034,node1,45.25,0
1035,node1,36.92,1
1036,node1,36.47,1
1037,node1,37.64,1
1038,node1,36.47,1
1039,node1,38.1,1
1040,node1,38.1,1
1041,node1,37.64,1
1042,node1,57.14,0
1043,node1,36.47,1
1044,node1,28.2,1
1045,node1,29.65,1
1046,node1,28.2,1
1047,node1,29.9,1
1048,node1,45.88,0
1049,node1,36.47,1
1050,node1,57.02,0
1051,node1,36.47,1
1052,node1,57.14,0
1053,node1,29.63,1
1054,node1,27.34,1
1055,node1,29.65,1
1056,node1,37.64,1
1057,node1,37.64,1
1058,node1,29.65,1
1059,node1,27.34,1
1060,node1,38.56,1
1061,node1,38.1,1
1062,node1,37.62,1
1063,node1,29.65,1
1064,node1,29.92,1
1065,node1,29.65,1
1066,node1,37.15,1
1067,node1,29.9,1
1068,node1,27.91,1
1069,node1,29.9,1
1070,node1,30.43,1
1071,node1,37.18,1
1072,node1,29.92,1
1073,node1,29.92,1
1074,node1,29.63,1
1075,node1,30.7,1
1076,node1,50.46,0
1077,node1,30.43,1
1078,node1,29.9,1
1079,node1,50.47,0
1080,node1,36.23,1
1081,node1,50.46,0
1082,node1,36.23,1
1083,node1,40.43,0
1084,node1,29.92,1
1085,node1,36.7,1
1086,node1,41.12,0
1087,node1,40.68,0
